date,value
2018-05-24,10.3575
2018-05-25,10.4150
2018-05-29,10.3050
2018-05-30,10.2300
2018-05-31,10.1850
2018-06-01,10.2125
2018-06-04,10.0175
2018-06-05,10.0125
2018-06-06,9.9425
2018-06-07,9.7425
2018-06-08,9.6925
2018-06-11,9.5375
2018-06-12,9.5400
2018-06-13,9.3600
2018-06-14,9.2725
2018-06-15,9.0550
2018-06-18,9.0850
2018-06-19,8.8900
2018-06-20,8.8950
2018-06-21,8.8050
2018-06-22,8.9450
2018-06-25,8.7450
2018-06-26,8.6840
2018-06-27,8.6970
2018-06-28,8.6455
2018-06-29,8.6250
2018-07-02,8.5350
2018-07-03,8.4800
2018-07-05,8.3925
2018-07-06,8.7750
2018-07-09,8.5575
2018-07-10,8.5575
2018-07-11,8.3300
2018-07-12,8.3375
2018-07-13,8.1875
2018-07-16,8.2950
2018-07-17,8.3950
2018-07-18,8.4225
2018-07-19,8.4600
2018-07-20,8.4975
2018-07-23,8.4775
2018-07-24,8.5800
2018-07-25,8.6075
2018-07-26,8.6225
2018-07-27,8.7240
2018-07-30,8.7845
2018-07-31,9.0775
2018-08-01,8.9150
2018-08-02,8.8700
2018-08-03,8.9150
2018-08-06,8.8275
2018-08-07,8.9525
2018-08-08,8.9975
2018-08-09,8.9300
2018-08-10,8.5075
2018-08-13,8.5725
2018-08-14,8.6825
2018-08-15,8.5750
